-1.72661334626707	helen graf and heather xi solyariya in five years the outstanding defeats .	海伦·格拉芙和希瑟·斯坦宁在五年中未尝败绩。
-0.44898301022052506	she says her daughter often makes handmade toys of her own , plus she is good at drawing , from the doll &apos;s five officers to the clothes , and can always be lifelike .	她说，女儿常常会自己缝制手工玩具，加上她擅长画画，从娃娃的五官到衣饰，总能做得栩栩如生。
-0.444697459046784	south korean american art , who tweeted about the photos and was widely shared , said in an email that the filters were &quot; at least uncomfortable and uncomfortable . &quot;	一名针对这些照片发表了推特并且被广泛分享的韩裔美国艺术生在一封电子邮件中表示，这些滤镜“至少是令人感到难受和不适的”。
-0.4410188303667861	this move is in the plant the next few years to make predictions made after , the initial reason is the aud going strong , and recently it is because the plant product for the price .	此举是在对工厂未来几年作出预测之后作出的，最初的原因是澳元的走强，而最近则是因为工厂产品的价格。
-0.440563317105596	it is particularly interesting to note the government &apos;s response to the hungry people , such as president herbert hoover , &quot; i can &apos;t handle anything else . &quot;	尤其值得玩味的是政府对于饥饿民众们的回应，比如总统市民赫伯特·胡佛“别人的事我可管不了”的态度。
-0.43939192297931606	the question of those questioned was wrong with the suspicion of the 2012 olympic games , and they would have proved wrong with regard to the suspicion of the heathrow project .	质疑者对于2012年奥运会的怀疑是错误的，并且他们对于希思罗项目的怀疑也将被证明是错误的。
-0.429981913683273	&quot; i have to do with the chinese tourists frequently , saw that they arrive at russian traveling to be happy . &quot;	“我常常与中国旅游者打交道，看到他们来到俄罗斯旅游非常高兴。”
-0.422663501776404	the company &apos;s explanation is : the filter to pay tribute to the comic roles , rather than satirical asians .	该公司的解释是：该滤镜是对动漫角色致敬，而非讽刺亚洲人。
-0.421763112320512	we in new york horse gamma-operative alliance ( krav maga federation ) master rhon mizrachi consult , and learn how to close deal with gun assailants .	我们向纽约的马伽术联盟 (Krav Maga Federation) 大师 Rhon Mizrachi 请教，了解如何近距离应对持枪行凶者。
-0.42084568966690505	the country &apos;s forestry bureau said it was a to the most urgent task not only for china of china and russia &apos;s tigers and leopards tiger , leopard protection , but also for the russian tiger and leopard protection , but also for the russian tiger and leopard protection , but also for the russian tiger and leopard population .	吉林省林业厅表示，加强中俄两国虎、豹保护合作，不仅是中国东北虎、豹保护面临的十分紧迫的任务，也是维系俄罗斯虎、豹种群健康的当务之急。
-0.417746848003323	the chinese new network journalist combed and found that there were at least nine provinces : hebei , jilin , tianjin , jiangxi , sichuan , hainan , gansu , fujian and beijing .	中新网记者梳理发现，目前至少已有河北、吉林、天津、江西、四川、海南、甘肃、福建、北京等9个省市出台了居住证实施细则。
-0.417449535032899	however , mr. putin continues the desolate manner to explain that his anything had not forgotten .	然而，普京先生持续冷淡的态度说明他什么都没有忘记。
-0.417157630503171	doctors told xue aunt , chronic bronchitis want to cure the basic is unlikely , usually adhere to medication may be alleviated .	医生告诉薛大娘，慢性支气管炎想要根本治愈的可能性不大，平常坚持用药可有所缓解。
-0.41635106632863395	xiamen xiangan district park east of the village of chang dong-red a few days ago just brought home a 29 inch old tv , replaced by a 65 inch big screen tv .	厦门翔安区东园村的张东红前几天刚把家中29寸的老电视，换成了65寸的大电视。
-0.41485370253037795	in addition , in the same time period , the number of natural population growth in new zealand was 2.82m .	另外，在相同时间段，新西兰人口自然增长数量为２.８２万人。
-0.41274833629552404	i &apos;m pleased with the achievements of himself in newamit , because i started here 30 years ago .	我对自己在纽马基特取得的成绩感到高兴，因为30年前我就是从这里起步的。
-0.4111792347577561	it is understood that the hong kong boomers will have been included in the &quot; national intangible cultural heritage list &quot; in 2011 .	据了解，香港潮人盂兰胜会已于2011年列入“国家级非物质文化遗产名录”。
-0.409690813831466	on october 1 this year , the international monetary fund will formally accept the renminbi as the weighted currency of the scr ( special drawing rights ) .	今年10月1日，国际货币基金组织将正式接纳人民币，成为ＳＤＲ（特别提款权）权重货币。
-0.40715689826108703	&quot; expects that the portland factory will continue to operate , that is to say that the refinery will continue to produce electricity demand , &quot; the joint venture said . &quot;	该合资公司表示：“AGL预计波特兰工厂将继续运营，也就是说这座冶炼厂将继续产生电力需求。”
-0.40213203070522396	&quot; the fall is the expected deterioration of foreign capital for the development of brazil &apos;s gdp .	“排名下降的原因是外资对于中期内巴西GDP发展的预期恶化。”
-0.39652175756083896	in order to ensure that student action is fair , open and transparent , this paper is today published today to 100 , acceptance of readers supervision on the basis of public information .	为确保助学行动公正、公开、透明，本报今日起分批公示学子基本信息，今天公示第1—100名，接受读者监督。
-0.394951496386679	the sharks have been julius nielsen said , according to records , one of the female &apos;s age is expected to head to sleep a shark from 272 to 512 aged aged up to five metres in length .	一直研究鲨鱼的 Julius Nielsen 说，据资料记载，有一头雌性小头睡鲨的年龄预计介于272岁至512岁之间，体长达五米。
-0.3933712853091071	from july 1st , the old passenger station , which is the passenger train of urumqi south station , arrived at urumqi station on a step-by-step basis .	从7月1号起，老客站，也就是乌鲁木齐南站的旅客列车就分步开行到了乌鲁木齐站。
-0.393002186142687	it was a segment of the floor exercise , including her signature churning string , with latin music , which she often listened to in a one-street shelter with the rio olympic stadium .	拜尔斯自由体操当中的一段——包括她标志性的翻腾串连的那一段，配的是拉丁音乐，而这段音乐正是她在与里约奥运会场馆仅有一街之隔住所里常听的。
-0.391130013022057	our country &apos;s mars exploration mission is to achieve a circular , landing and patrol , which has never been abroad , and it has been proposed to achieve a circle and land once , but the landing failed .	我国的火星探测任务要一次实现环绕、着陆、巡视，这种形式在国外是从没有过的，国外曾拟一次实现环绕和着陆，但着陆失败了。
-0.39006981321362605	due to the expiration of the 72-hour detention period of the maritime authority at 9 a.m. on 7 august , the relatives of the victims filed a full application to the court in the early hours of 7 july .	鉴于海事局72小时扣押期限于8月7日上午9点届满，遇难者亲属于7日凌晨向法院提起财产保全申请。
-0.3868132158698879	in the case of an accused person who had been arrested , the defendant was not attempted , did not cause the consequences , and was guilty of a better accepted and recommended that he should adopt the light punishment .	对于辩护人提出的被告人被抓时系未遂犯、未造成后果，认罪态度较好，建议对其从轻处罚的意见予以采纳。
-0.383884175614472	the newspaper also said that israel &apos;s code has been added to the list .	该报还表示以色列代码已加入到列表中。
-0.373200088806415	the agl stated that the value of the contract had been reduced by the company in terms of &quot; termination activities &quot; and the value of the contract value of $ 1.87 million .	AGL表示，公司已在“终止活动预期”中减记了1.87亿美元的合同价值。
-0.372688001484826	it is reported that the national flag estimated that transported to rio on the 11th , after olympic organizing committee received the national flag , will deliver to each olympic venues , the entire process in brazil under legations and consulates will be completed in the supervision of china &apos;s .	据悉，国旗预计于11日运抵里约，奥组委收到国旗后会送到各个奥运场馆，整个过程将在中国驻巴西使领馆的监督之下完成。
-0.37225293563224604	grecia is a mengmeng &apos;s female toucan , the whole body is lending the breath of tropical rain forest .	格雷西亚是一只萌萌的雌性巨嘴鸟，浑身散发着热带雨林的气息。
-0.3710272793703979	federal taxes on the presidential election has become a huge problem .	联邦税已成为总统竞选中的一大问题。
-0.364981807432009	the royal bank of scotland will provide scottish customers with , but not reply as it is .	苏格兰皇家银行将为苏格兰客户所用，但不会回复原样。
-0.364795134962089	in 2016 , expenditures for the new north sea project were expected to exceed $ 1.4 billion , while the average project expenditure for the last five years amounted to approximately $ 70 billion .	2016年，北海新项目的支出预计不超过14亿美元，而过去五年的平均项目支出达到约70亿美元。
-0.35651342559153604	agl said that the company has been in the “ termination of the activities expected to ” write down a 1 . 87 billion dollars of contract value .	AGL表示，公司已在“终止活动预期”中减记了1.87亿美元的合同价值。
-0.356380086917033	moreover , many message sources claimed that new generation iphone will cancel the 3.5mm earphone connection , then uses the bluetooth connectivity and charge connection , this will increase the second speaker to provide the space for the apple .	另外，还有多个消息源声称，新一代iPhone将取消3.5mm耳机接口，转而使用蓝牙连接和充电接口，这将为苹果增加第二个扬声器提供空间。
-0.3543921606592221	he added : &quot; it is regrettable that the tenants are not for her and her family &apos;s behavior and liable for deportation is cornwall housing association finally approach . &quot;	他补充说：“令人遗憾的是，该房客没有为她与家人的行为而负任何责任，驱逐是康沃尔郡住房协会最后考虑的做法。”
-0.351794988434104	zhang huizhen talked about her gold medal after the women &apos;s archery award ceremony , &quot; until the end is to shoot as much as possible , it may be that this brings good results , satisfaction .	张惠珍在女子射箭个人赛颁奖仪式结束后谈了自己的夺金感言，“直至最后都是尽可能地一发一发地射箭，可能是这带来了好结果，心满意足。
-0.351700553234522	the freight volume of shin station in xi &apos;an railway bureau has been increased year by year with the encryption of the central asian .	随着中亚班列的加密开行，西安铁路局新筑车站货运量逐年提升。
-0.349761104186693	at a press conference on august 10 , the gracian , who was recovering from surgery , showed his new 3d print plastic bird .	8月10日的新闻发布会上，术后康复的格雷西亚终于亮相，向人们展示它崭新的3D打印塑料鸟喙。
-0.349288893289122	the trial by the people &apos;s court of wollongong district , nanyang city , henan province , found that from 30 september to 4 october 2005 , the defendant , li shengwang , used pseudo-base station equipment to send fraudulent information in the tongber and nanyang urban areas .	河南省南阳市卧龙区人民法院审理查明，２０１５年９月３０日至１０月４日，被告人李会旺先后在桐柏县、南阳城区利用伪基站设备发送诈骗信息。
-0.347419636340982	be combined the payment mechanism should be to the date of the announcement within 6 months of completion of the payment business to undertake the work .	被合并支付机构应于公告之日起6个月内完成支付业务承接工作。
-0.345054019725447	so in the regular season , james &apos; data is likely to fall further and he will take more of the burden to owen , but he will still be easily the top three player in the league .	因此，在常规赛里，詹姆斯的数据很可能进一步下滑，他会把更多的重担分给欧文来承担，不过他仍然会轻松地成为联盟前三的球员。
-0.342079693819415	if long-term stay up late , not only cardiovascular function affected , but the gastrointestinal function , the immune system , the neuroendocrine system are affected , even suffering from cancer , the risk also will increase .	如果长期熬夜，不仅心血管功能受影响，而且胃肠功能、免疫系统、神经内分泌系统都会受影响，甚至罹患肿瘤的风险也会增大。
-0.34078659992793797	narrator byron mcdonald at the end of the women &apos;s 4x200 freestyle relay finals when he thought his microphone had been turned off .	解说员拜伦·麦克唐纳在女子4x200米自由泳接力赛决赛结束时，发表了一些自己的看法，当时他以为自己的麦克风已经关掉。
-0.33869140355856003	the upcoming deal is also a prelude to the launch of a pilot work on pollution rights in qingdao , which will also be the first and national level of pollutant emissions trading in the province .	此次即将完成的交易首单也预示着青岛排污权交易试点工作正式拉开序幕,也将是全省排污权交易首单和全国城市级排污权交易首单。
-0.33850871165732505	the participants can visit the central hall , the time exhibition room , the cactus restroom and teahouse .	参加者可以参观中央大厅、时代展室、仙人掌休息室和茶室。
-0.33618462173247904	mr. putin on friday told russian television that mr. ivanov himself demanded the resignation and recommend the waj mr. jean to pick any of their own .	普京先生周五告诉俄罗斯电视台说，伊万诺夫先生自己要求辞职并推荐了瓦伊诺先生来接任自己。
-0.33291546890195095	the team is always best .	团队赛始终是最棒的。
-0.32866356605566605	according to 塔央行 11日 , tajikistan &apos;s &quot; news agency , the rate of inflation in the first seven months of the year was 3.7 % .	塔吉克斯坦“阿维斯塔”通讯社11日援引塔央行的消息称，今年前7个月塔国的通货膨胀率为3.7%。
-0.328644507329884	previously , jining elderly commission , the municipal finance bureau , the municipal transportation bureau issued on the 60 — 64 years of age , the elderly half-price ride the city bus to the notice of the preferential policy from the year of 9 november 1 officially implemented .	此前，济宁市老龄委、市财政局、市交通局下发《关于60—64周岁老年人半价乘坐城区公交车的通知》，该优惠政策从今年的9月1日正式实施。
-0.326628296643326	and at the doctor &apos;s end , ibaby through the organization of experts to grassroots doctors on-line lectures , peer exchanges , case discussions and other micro-lectures on the form of breaking the geographical restrictions .	而在医生端，iBaby通过采取组织专家给基层医生开展在线讲座、同行交流、病例讨论等微讲座的形式，打破地域限制。
-0.319985578317575	&quot; be sure to develop the talent that has been learned from home in russia . &quot;	“一定要把从国内学到的才艺在俄罗斯发扬开来”。
-0.31971886894948603	in the first half , kyle brown helped africa lead , but dan norton scored with a good 的 in the second half .	上半场凯尔·布朗帮助南非队取得领先，但丹·诺顿在下半场凭借出色的脚法破门得分。
-0.313620372593326	last year , a police officer was charged with negligence in the death of a man accused in august 2014 of hitting a man and causing her death on the a1 motorway near pareena .	去年，一名警官被指控因疏忽而致人死亡，指控的内容是2014年8月，她在帕耶讷附近的A1高速公路上撞击了一名男子并且致其死亡。
-0.309305881198715	&quot; it also reflects the way americans eat , &quot; added her husband , andrew ko .	她的丈夫安德鲁·科补充道：“这也体现了美国人的饮食方式。”
-0.303349735739892	this newspaper also expressed that the israeli code has joined to the list .	该报还表示以色列代码已加入到列表中。
-0.30247248611049105	the chief executive officer said : &quot; the present to became a multi-brand bank the time , in private how because we have been seeking become a better service in the bank of customer . &quot;	首席执行官表示：“现在到了成为一家多品牌银行的时候，因为私下我们一直在探求如何成为一家更好的服务于客户的银行。”
-0.29886203463107003	the community law centre keeps 160,000 people out of doors every year	社区法律中心每年将16万人拒之门外
-0.29702646211845	captain claude landzman , the author of the jews massacre documentary &quot; holocaust &quot; , expressed his disappointment with the kempinski hotel and issued an open letter at the german &quot; frankfurt report &quot; .	犹太人大屠杀纪录片《浩劫》的作者克劳德·朗兹曼表达了他对凯宾斯基酒店的失望，并且在德国《法兰克福汇报》上发表了一封公开信。
-0.29661520550781606	military training in the sun longer , sunscreens every two hours to wipe once in order to have a lasting effect , don &apos;t be lazy .	军训日晒时间较长，防晒霜每隔两小时擦一次才能有持久效果，千万不要偷懒。
-0.29504573474216805	&quot; we need to show that women and men feel at ease , timeless and classic nudity , and this time it was influenced by that , &quot; shaw in a calendar with briefing said .	“我们需要展示让女性和男性都感觉自在的永恒而经典的裸体，而这次正是受此启发，”Shaw 在一次日历推介发布会上如是说。
-0.289231037289641	lang vietnam media reports to the peak of the so-called excessive medical information , there were no supporting evidence .	兰越峰向媒体举报的各种所谓过度医疗的信息，均没有证据支持。
-0.28338230153193605	this exhibition will be open to the global audience , especially at the invitation of the country and target market countries along the road .	本届展会面向全球招商招展，特别是加大了对“一带一路”沿线国家和目标市场国家的邀请力度。
-0.281814535644826	from the beginning of the first rowing to the present , helen graff and heather steinning have received 220 punitive training , and their gold medal at estacio da lagoa has a more remarkable meaning .	从第一次划桨开始到现在，海伦·格拉芙和希瑟·斯坦宁已接受了220次惩罚性拉举训练，而她们在 Estacio da Lagoa夺得的这块金牌具有更非凡的的意义。
-0.280745207128359	&quot; this can reduce the risk of further invasive sexual harm to guerrero , &quot; langger told xinhua news agency .	“这样可以减少对格雷西亚造成进一步侵入性伤害。”朗格对新华国际记者说。
-0.27204891451478697	2008 年 8 months , in 50 m sports rifle three posture competition with a total score of 690 . 3 ring breaking the olympic record to win the gold medal .	2008年8月，在50米运动步枪三姿的比赛中以总成绩690.3环破奥运会纪录夺得金牌。
-0.27161325191852803	and we are oriented towards women .	而我们则面向女性。
-0.269292291112597	you can turn yourself into a pineapple , a dog , or a character in roy .	你可以把自己变成一颗菠萝、一只狗或一个罗伊·利希滕斯坦画中的角色。
-0.26665412985963	provide including online learning , case discussions , academic exchanges ; at the same hospitals , the same sections of the doctors between the social platforms ; the doctor-patient relationship or personal life needed legal assistance , entrepreneurial support and other services .	提供包括在线学习、病例讨论、学术交流；同医院、同科室医生之间社交平台；医患关系或个人生活所需要的法律援助、创业支持等服务内容。
-0.264663730152198	in line with this criterion , last month , the largest number of days of high temperatures can be reached in 330 yuan , the least of which is 80 yuan , while the most high temperatures in the city do not have high temperatures , so there are no high temperatures .	按照这一标准，上个月高温天气天数最多的开州能领到330元，天数最少的城口则是80元，而酉阳最高温由于没达到高温标准外，所以没有高温津贴。
-0.26085063758368304	yesterday , the central police of the first state entered the leyte regional prison in leyt ( leyte ) and killed a &quot; attempt to police &quot; .	昨天，菲国中部警方进入雷伊泰省(Leyte)地区监狱，击毙1名“企图袭警”的受刑人。
-0.25955346499772897	china since 2007 to carry out pilot , now has zhejiang , jiangsu and other 14 provinces ( regions , municipalities ) in full implementation .	我国从2007年开始进行试点,目前已有浙江、江苏等14个省(区、市)在全面推行。
-0.259168560300354	as an athlete , zhang binbin and family gathered less , only holidays can go home , usually by telephone contact .	作为运动员，张彬彬和家人聚少离多，只有节假日才能回家，平时多靠电话联系。
-0.25865578198350503	it is not one of the only : a twitter person is happy to find that others also see these similarities similarly .	不是唯一的一个：一位推特用户很开心地发现其他人也看到了这些相似之处
-0.25827720695426504	&quot; eligible elderly , holding a second-generation id card to the ic sales center for processing can be , the foreign account in line with the age of the elderly also enjoy this offer . &quot;	“符合条件的老年人，持二代身份证到IC销售中心办理就可以；外地户口符合这个年龄的老年人也享受这个优惠。”
-0.256745373734186	after installation of the last pavement board and connecting it to the enlarged north bridge boards , then you need to complete the remaining shortages of the north or near the surface of the land .	安装最后一段路面板并将之连接至扩大的北桥堡路面板之后，接下来需要完成北侧或者接近陆地一侧的剩余缺口合龙。
-0.25638718629254004	a congressional panel on thursday , according to the report , released by the u. s. central command officials changed the intelligence reports , the fight against islamic state in iraq and syria , describing the war situation than they actually are more optimistic .	一个国会小组在周四发布的报告中指出，美国中央司令部的官员更改了情报报告，将在伊拉克和叙利亚对抗伊斯兰国的战争情况描述得比实际情况更为乐观。
-0.2562840556864	a couple of couples from france have spent nearly three hours at the scene of the event and have experienced it in the mini-flower mobile classroom .	一对来自法国的夫妻在活动现场逗留了近3个小时，并且在迷你花牌流动教室体验了一番。
-0.253814783106302	this week , the french cyclist , who looks like the princess of kate at the 2016 rio olympics , was heavily pursued by the audience .	本周，2016里约奥运会上长相酷似凯特王妃的法国自行车手波林·费朗德·普雷沃 (Pauline Ferrand Prevot) 受到了观众们的大力追捧。
-0.25069000433590194	but zhang bingley returned to xiamen , after his enlightenment coach zhang yayi repeated his work .	但是在其启蒙教练张亚杰反复做工作后，张彬彬又回到了厦门队。
-0.24892540869062602	on august 12 , the committee held a press conference in mangzhou , texas , to introduce the organisational and opening events of the competition .	8月12日，在德宏州芒市，组委会召开新闻发布会，介绍大赛的组织和开幕式筹备情况。
-0.248296037496186	rahman is said to be &quot; in the campaign claims to give his vote to a loyal muslim religious obligations . &quot;	据说，拉赫曼“在竞选时宣称给他投票是忠诚穆斯林教徒的宗教义务。”
-0.247234518115865	the scene found a lot of offensive weapons , the shell casings , which can be inferred that they are using a different offensive weapons .	现场发现了不少攻击性武器的弹壳，由此可推断他们使用的是不同的攻击性武器。
-0.24642560158934898	a few days ago , that the suspect had been made to the police review xuhui district prosecutor &apos;s office for prosecution .	日前，该涉案犯罪嫌疑人已被徐汇公安分局移送徐汇区检察院审查起诉。
-0.245487107510526	&quot; in this village we provided the services of a doctor and a b-super , while the other team also provided a free medical check-up service in the village of churchyard , in the village of wuzhou .	“在这个村我们提供了看病和B超的服务，而另一队在五莲县户部乡邱家店子村的义诊服务队还提供了免费体检的服务。
-0.243955043178843	since 2007 , the pilot has been piloted , with 14 provinces such as zhejiang and jiangsu ( district and city ) being fully implemented .	我国从2007年开始进行试点,目前已有浙江、江苏等14个省(区、市)在全面推行。
-0.24320559702595104	&quot; the pleiades has laid the groundwork for a two-way spin theory model for young and aging stars , &quot; raible said .	雷布尔表示：“昂宿星团为年轻与年迈恒星的双向旋转理论模型奠定了基础。”
-0.24287763325263198	he said in the report : &quot; evidence shows that senior members , particularly those of pakistani and bangladeshi backgrounds , communities , the senior member to some minority communities vulnerable groups , particularly women and young people , under pressure , allowing them to vote according to their consciences . &quot;	他在报告中说：“证据表明，资深成员，特别是巴基斯坦和孟加拉国背景社区中的资深成员向一些少数族裔社区的弱势群体，尤其是妇女和年轻人，施加压力，让他们按照自己的意愿投票。”
-0.242121560053661	mr. liu of the pilot work achieved initial results and created a good experience , good practices give full affirmation .	刘赐贵对试点工作中取得的阶段性成果和创造出的好经验、好做法给予充分肯定。
-0.24199793268004502	they will usher in the mediterranean tourist boom at the end of the season .	他们将迎来季末地中海旅游潮。
-0.236990590936803	the investigators told cbs philadelphia , seemed like many ringers exchanges fire .	调查人员告诉 CBS Philadelphia，看起来像是多名枪手交火。
-0.234301267280543	january 1 , 2016 , the eia has been made of the existing drainage units , not levy paid royalties .	2016年1月1日前已取得环评的现有排污单位,暂不征收有偿使用费。
-0.233350176085201	&quot; i &apos;m afraid now , i &apos;m really scared ! to tell the truth , when the children hang on the embankment , my heart is broken , &quot; he said .	“现在回想起来真的很后怕!说实话，当孩子在河堤上快坚持不下去了，向我求救时，我的心都快碎了。”
-0.227097986367041	sir eric said , should focus on whistleblower protection .	埃里克爵士说，应加大对举报者的保护力度。
-0.21688961584083102	helen graff and heather steinning were inspired by the cancer coach and won the gold medal	海伦·格拉芙和希瑟·斯坦宁受身患癌症的教练的鼓舞，夺得赛艇金牌
-0.21494400706728198	the resumption of dialogue between the leaders of the two countries is certainly a good thing when the two leaders of the north atlantic treaty organization ( nato ) , turkey , have brought down the months of public hostility and a major disaster .	在北大西洋公约组织成员国土耳其击落俄战机所带来的数月公开敌对及引发大型灾难的可能下，两国领导人再次重启对话肯定是件好事。
-0.21437094471805	it is chaired by professor , vice - president cao xian the political and public management college of shandong university .	本期大讲坛由山东大学政治与公共管理学院常务副院长曹现强教授主持。
-0.20067950466520498	if we aspire to become a big bank with a lot of brands three years ago , it will be ridiculed .	如果三年前我们立志成为一家拥有众多品牌的大银行将备受嘲讽。
-0.19454562009813503	at the same time , the exchange rate of rmb against the us dollar over 100 points has repeatedly appeared , but the process goes up and down .	汇改至今，人民币对美元中间价超百点的上下波动屡屡出现，但过程升贬交替。
-0.19424731939734	&quot; it &apos;s like in london , it is the british flag on the platform , &quot; he said .	辛德斯表示：“这就像在伦敦，站台上都是英国的国旗。”
-0.18388941919040502	this female in being located in folkestone the primark shop of bouverie place shopping center tries on the underpants unceasingly , then returns the shelf	这名女子在位于 Folkestone 的 Bouverie Place 购物中心的这家 Primark 店内不断试穿内裤，然后又放回货架
-0.183039301294276	while snapchat indicates that this filter is inspired by animation , but some observers think it has ethnic colors .	Snapchat表示这一滤镜的灵感来自动漫，但一些观察者认为它带有种族色彩。
-0.18271828146507996	and as a result of the factory &apos;s electricity consumption accounted for about 10 per cent of the victorian electricity output , there may be a chain reaction .	并且由于该工厂的用电量占到维多利亚全部电力输出的约10%，因此可能还会产生连锁反应。
-0.18267238969764496	according to the bureau of meteorology portal for the district of hot weather statistics , apart from the rest of the city , i must all be able to receive allowances to varying degrees of heat .	根据重庆市气象局门户网对各区县高温天气的统计，除酉阳外，我市其余各地都能领取到不同程度的高温津贴。
-0.180009252048137	we had a complete roll over .	我们来了一次彻彻底底的翻身。
-0.178992825930993	then , wattmo lavo broke the defensive line of the british team , straight to the scoring line .	然后，瓦特莫·拉沃沃冲破英国队的防守，直达得分线。
-0.175822265193051	according to the requirements of the mainland customs , diamond non-travellers may be sentenced to imprisonment for their goods or necessities in the course of their journeys and they are subject to declaration at the time of entry and exit or smuggling .	据内地海关规定，钻石非旅客于行程中的用品或必需品，故属于货品范畴，出入境时需申报，否则或列作走私，情况严重可被判入狱。
-0.174372725476344	the company &apos;s electric power companies supplying factories to the factory disclosed that a factory owner would terminate a supply contract , all the supply contracts were invalidated , and the victoria &apos;s portland smelter portland smelter in victoria and hundreds of workers at the factory were currently facing uncertain future .	由于为工厂供电的电力公司透露了一名工厂所有人将终止一份供应合同，从而使所有供应合同失效，位于维多利亚的波特兰铝冶炼厂以及工厂数百名工人目前正面临着不确定的未来。
-0.173067024575079	these three surface factors reflected that our growth mode transformed the relative lag in the past the reason , is the growth mode of by the government being led had not obtained the fundamental transformation .	这三个表层的因素还是反映出了过去我们的增长方式转变相对滞后的原因，就是由政府主导的增长方式至今还没有得到根本性的转变。
-0.167401231767485	lesman &apos;s performance was a bit like the revenge of four years ago , when she tied for third , but lost in the decider to moothafina .	莱斯曼的表现有点像是对四年前的复仇，当时她并列第三，但在决胜局中输给了穆斯塔芬娜。
-0.163604974818353	helen graf and heather stein were inspired by the coach of cancer and won a gold medal in rowing	海伦·格拉芙和希瑟·斯坦宁受身患癌症的教练的鼓舞，夺得赛艇金牌
-0.161039579541745	the cbc olympic speaker apologized for &quot; slower pig &quot; comments on chinese swimmers	CBC 奥运会解说员就中国游泳运动员“像猪一样慢”的评论道歉
-0.160353082206913	as a flagship species in the region of the sino-russian border , cooperation between china and russia is significant for the population of the northeast tiger and leopard .	作为分布在中俄交界区域的世界野生动物保护旗舰物种，中俄两国间的合作对于野生东北虎、豹的种群恢复和繁衍意义重大。
-0.158787669326931	xie anda said the process &quot; hindered the release of information &quot; , lowered the analyst &apos; s morale and &quot; cannot accept different opinions . &quot;	谢安达先生表示，该流程“妨碍了情报的发布”、降低了分析员的士气并且“无法接受不同的意见。”
-0.157654960147005	&quot; the way each coach picked the players was different , and at the time i saw that bingley &apos;s hand was very beautiful , and it was all at once . &quot;	“每个教练挑选队员的方法不一样，当时我看到彬彬的手长得很漂亮，就一下子相中了。”
-0.155401135423552	&quot; the 3d printing is not the future technology , it really entered your my life . &quot; us sg3d printing director thomas lange when accepting the new china international reporters interviewed said .	“3D打印并不是未来技术，它已经实实在在走进了你我的生活。”美国SG3D打印公司董事长托马斯·朗格在接受新华国际记者采访时说。
-0.15415636678794198	she said that her daughter would often make their own handmade toys , plus she is good at drawing , from toys to clothing and always do come to life .	她说，女儿常常会自己缝制手工玩具，加上她擅长画画，从娃娃的五官到衣饰，总能做得栩栩如生。
-0.14696271899522	&quot; it &apos;s called butter dried fruit , &quot; ms. ziegman said . &quot; and adding a trendy name to a common dish is &quot; the usual trick . &quot;	齐格曼女士说道：“这叫作奶油果脯，“并且补充道为一道普通的菜起一个新潮的名字是“惯用的伎俩”。
-0.143302020283807	frankie dettori pulled predilection after achievement , caused the audience to cheer	戴图理在获胜后牵来了 Predilection，引起了全场欢呼
-0.142085003463798	in the first two games of the games croatia , surrey received 24 points , 17 rebounds and 12 assists .	克罗地亚在本届奥运会上的前两场比赛，萨里奇一共得到24分、17个篮板和12次助攻。
-0.14019855485177699	recently , the involved suspects have been xuhui public security bureau transferred to the xuhui district procuratorate review prosecution .	日前，该涉案犯罪嫌疑人已被徐汇公安分局移送徐汇区检察院审查起诉。
-0.136361495527797	lingshui transportation bureau traffic management station wang wenyi said lingshui transport sector began early this year to rectify the illegal operation of passenger tricycle , a total of 613 illegal operation of passenger tricycle .	陵水交通运输局交通管理站站长王文义说，陵水交通部门在今年初开始整治非法营运载客三轮车，共取缔613辆非法营运载客三轮车。
-0.13623593249836	&quot; you are hiding under the id to avoid a face-to-face collision , not only to have room for manoeuvre , but even to give each other more time and space to think about words and deeds . &quot;	“隐藏在ID之下的你来我往避免了面对面的人际碰撞，不仅有了回旋的余地，甚至给了彼此更多思忖言行的时间和空间。”
-0.13585658058721098	the result of the simulation is that the average climatic temperature of venus is actually a few degrees lower than that of the present earth .	模拟的结果是金星的平均气候温度实际上比现在的地球还低了几度。
-0.129633384013275	he told bbc scotland branch , said : “ the royal bank of scotland brand will eventually become our investors brand , is also an employee employed by one of the brands , because the current greater sense we have become one with the many brands of the bank . ”	他告诉英国广播公司苏格兰分部说：“苏格兰皇家银行品牌将最终成为我们的投资者品牌，同时也是员工受雇品牌之一，因为目前更大意义上我们已成为一个拥有众多品牌的银行。”
-0.12954734823181802	mr. mortimer said : &quot; labour action is little effective and contrary to pressure on the already full teams and services , leading to the fear , concern and confusion of patients , care and their families . &quot;	Mortimer 先生说：“劳工行动收效甚微，相反却会对已然倾注全力的队伍和服务造成压力，导致患者、护理人员及其家人的担心、忧虑及混乱。”
-0.12843689072290898	with the exception of those who hit kate on the bike track , many netizens quickly discovered that an archer was simply the twin brother of leonardo dicaprio .	除了自行车赛道上撞脸凯特的选手外，很多网民很快发现某位射箭选手简直就是莱昂纳多·迪卡普里奥的孪生兄弟。
-0.127169513761547	in his campaign , mr. rahman reportedly declared that he was said to be a religious duty to faithful muslims .	据说，拉赫曼“在竞选时宣称给他投票是忠诚穆斯林教徒的宗教义务。”
